ID,Name,St.No.,Street Name,City,State,Zip,Municipality,Category
655,Bay Valley Foods Bldg #430 - Rig Room,1080,River Ave,Pittsburgh,PA,15212,Pittsburgh-123,Food Processor
656,Bayer Employee Cafeteria,100,Bayer Road  Bldg #6,Pittsburgh,PA,15205,Robinson,Restaurant without Liquor
657,Bayer Healthcare-O&#39;Hara,625,Alpha Drive,Pittsburgh,PA,15238,O&#39;Hara,Restaurant without Liquor
658,Bayer Medical Care-910 Location,1,Bayer Drive,Indianola,PA,15051,Indiana,Restaurant without Liquor
659,Baymark Cafeteria,3500,Technology Dr,Monroeville,PA,15146,Monroeville,Restaurant without Liquor
660,Be at Home Child Care Center,2590,Wexford Bayne Rd,Sewickley,PA,15143,Franklin Park,Child Food Service
661,Bea Taco Town,2759,Banksville Road,Pittsburgh,PA,15216,Pittsburgh-120,Restaurant without Liquor
662,Bea Taco Town #1,633,Smithfield Street,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant without Liquor
663,Bea Taco Town #2,110,Smithfield Street,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant without Liquor
664,Beacom&#39;s ,120,Sr 908 EXT,Tarentum,PA,15084,Frazer,Packaged Food Only
665,Beadling Sports Club,675,Painters Run Rd,Pittsburgh,PA,15228,Upper St Clair,Restaurant with Liquor
666,Bean Thru,4221,Ohio River  Boulevard,Pittsburgh,PA,15202,Bellevue,Restaurant without Liquor
667,BeanThru,1921,William Flynn Highway,Glenshaw,PA,15116,Shaler,Restaurant without Liquor
668,Bears Inn,710,Hite Road,Harwick,PA,15049,Springdale Township,Restaurant with Liquor
669,Beccari Farm Market,5095,Thoms Run Road,Oakdale,PA,15071,Collier,Retail/Convenience Store
670,Bechtel Marine Propulsion Corp,814,Pittsburgh / McKeesport Blvd,West Mifflin,PA,15122,West Mifflin,Restaurant without Liquor
671,Becker&#39;s Cafe,315,Olivia St,Mc Kees Rocks,PA,15136,McKees Rocks,Restaurant with Liquor
672,Becky&#39;s Place,605,Scenery Drive,Elizabeth,PA,15037,Elizabeth Township,Restaurant without Liquor
673,Bed Bath &amp; Beyond,7507,McKnight Rd,Pittsburgh,PA,15237,Ross,Chain Packaged Food Only
