"1602","1305 5th Ave, Mc Keesport, PA, 15132","Match","Non_Exact","1305 5TH AVE, MCKEESPORT, PA, 15132","-79.85221,40.351982","51672595","L"
"1600","1323 Forbes Avenue, Pittsburgh, PA, 15219","Match","Exact","1323 FORBES AVE, PITTSBURGH, PA, 15219","-79.98787,40.437798","51635269","L"
"1609","1117 Milltown Rd, Verona, PA, 15147","Match","Exact","1117 MILLTOWN RD, VERONA, PA, 15147","-79.79,40.498554","606388380","L"
"1607","116 North Avenue, Pittsburgh, PA, 15212","Tie"
"1608","608 Chartiers Ave, Mc Kees Rocks, PA, 15136","Match","Exact","608 CHARTIERS AVE, MC KEES ROCKS, PA, 15136","-80.06058,40.465313","51621791","R"
"1605","1710 Pacific Avenue, Natrona Heights, PA, 15065","Match","Exact","1710 PACIFIC AVE, NATRONA HTS, PA, 15065","-79.724106,40.62142","606385577","R"
"1606","4809 Penn Avenue, Pittsburgh, PA, 15224","Match","Exact","4809 PENN AVE, PITTSBURGH, PA, 15224","-79.946266,40.465446","51644177","L"
"1603","301 Meade Street, Pittsburgh, PA, 15221","Match","Exact","301 MEADE ST, PITTSBURGH, PA, 15221","-79.89066,40.446728","51653288","L"
"1809","5159 Library  Road, Bethel Park, PA, 15102","Match","Exact","5159 LIBRARY RD, BETHEL PARK, PA, 15102","-80.02462,40.336624","51657806","L"
"1604","491 E 8th Ave, Homestead, PA, 15120","Match","Exact","491 E 8TH AVE, HOMESTEAD, PA, 15120","-79.90577,40.408867","51652856","L"
"1808","4851 Clairton  Boulevard, Pittsburgh, PA, 15236","Match","Non_Exact","4851 CLAIRTON BLVD, PITTSBURGH, PA, 15210","-79.97602,40.349613","617240884","L"
"1807","1511 Center Ave, Pittsburgh, PA, 15229","Match","Exact","1511 CENTER AVE, PITTSBURGH, PA, 15229","-80.0446,40.516026","51704746","L"
"1806","5724 Curry Rd, Pittsburgh, PA, 15236","No_Match"
"1805","925 Main  Street, Pittsburgh, PA, 15215","Match","Exact","925 MAIN ST, PITTSBURGH, PA, 15215","-79.93342,40.49458","51715435","R"
"1804","720 N Homewood Ave, Pittsburgh, PA, 15208","Match","Exact","720 N HOMEWOOD AVE, PITTSBURGH, PA, 15208","-79.896805,40.456066","51647828","R"
"1803","20013 US - 19, Cranberry Township, PA, 16066","Match","Exact","20013 RTE 19, CRANBERRY TWP, PA, 16066","-80.09873,40.674343","52678784","R"
